Product,Bom Lines / Product Quantity,Bom Lines / Used For,Bom Lines / Product
MLS-04/F25,1,,SGB HOUSING MLS-04/F25
,1,,SGB COVER MLS-04/F25
,1,,SPUR GEAR MLS-04/F25
,1,,PINION SHAFT ø 45x150L - EN19
,2,(TOP/BOTTOM),HARD WASHER OD 115 x ID 97 x 7 THK
,1,,HANDWHEEL ø 500mm
,1,FOR 1 & 4,BUSH ø 35x19L
,1,FOR 2 & 4,BUSH ø 35x30L
,2,,THRUST RACES AS 2542
,102,,STEEL BALL ø 6mm
,2,,O RING ID 100mm x 3mm
,1,,CIRCLIP ø 25mm
,5,FOR 1 & 2,HEX BOLT M6x25L - C.S. Gr. 4.0
,3,FOR 1 & 2,HEX BOLT M6x40L - C.S. Gr. 4.0
,1,FOR 4 & 6,HEX BOLT M8x15L - C.S. Gr. 4.0
,1,FOR 4 & 6,PARALLEL KEY 8x7x40
,1,FOR 6,INDICATOR PLATE ø 50mm
,1,FOR 6 & 15,WASHER ID 9 x OD 30 x 1 THK
MLS-04/F25 (EO),1,,SGB HOUSING MLS-04/F25
,1,,SGB COVER MLS-04/F25
,1,,SPUR GEAR MLS-04/F25
,1,,PINION SHAFT ø 45x243L - EN19
,2,(TOP/BOTTOM),HARD WASHER OD 115 x ID 97 x 7 THK
,1,FOR 1 & 4,BUSH ø 35x19L
,1,FOR 2 & 4,BUSH ø 35x30L
,2,,THRUST RACES AS 2542
,102,,STEEL BALL ø 6mm
,2,,O RING ID 100mm x 3mm
,5,FOR 1 & 2,HEX BOLT M6x25L - C.S. Gr. 4.0
,3,FOR 1 & 2,ALLEN BOLT M6x40L - C.S. Gr. 4.0
,1,FOR 4,PARALLEL KEY 8x7x40
MLS-04/F25 (INDICATOR),1,,SGB HOUSING MLS-04/F25
,1,,SGB COVER MLS-04/F25
,1,(INDICATOR),SPUR GEAR MLS-04/F25
,1,,PINION SHAFT ø 45x311L - EN19
,2,(TOP/BOTTOM),HARD WASHER OD 115 x ID 97 x 7 THK
,1,,HANDWHEEL ø 500mm
,1,FOR 1 & 4,BUSH ø 35x19L
,1,FOR 2 & 4,BUSH ø 35x30L
,2,,THRUST RACES AS 2542
,102,,STEEL BALL ø 6mm
,2,,O RING ID 100mm x 3mm
,1,,CIRCLIP ø 25mm
,5,FOR 1 & 2,HEX BOLT M6x25L - C.S. Gr. 4.0
,3,FOR 1 & 2,HEX BOLT M6x50L - C.S. Gr. 4.0
,1,FOR 4 & 6,HEX BOLT M8x15L - C.S. Gr. 4.0
,4,FOR 3 & 21,HEX BOLT M6x15L - C.S. Gr. 4.0
,4,FOR 2 & 22,HEX BOLT M8x25L - C.S. Gr. 4.0
,3,FOR 2 & 23,HEX BOLT M8x25L - C.S. Gr. 4.0
,1,FOR 4,PARALLEL KEY 8x7x40
,1,HANDWHEEL,INDICATOR PLATE ø 50mm
,1,,INDICATOR ROD
,1,,PIPE HOOD FOR INDICATOR
,1,,PIPE HOOD FOR PINION SHAFT
,1,FOR 6 & 15,WASHER ID 9 x OD 30 x 1 THK
MLS-05/F30,1,,SGB HOUSING MLS-05/F30
,1,,SGB COVER MLS-05/F30
,1,,SPUR GEAR MLS-05/F30
,1,,PINION SHAFT ø 50x168L - EN19
,2,(TOP/BOTTOM),HARD WASHER OD 140 x ID 120 x 7 THK
,1,,HANDWHEEL ø 700mm
,1,FOR 1 & 4,BUSH ø 40x19L
,1,FOR 2 & 4,BUSH ø 40x43L
,2,,THRUST RACES AS 3047
,130,,STEEL BALL ø 6mm
,2,,O RING ID 119mm x 4mm
,1,FOR 4,CIRCLIP ø 30mm
,5,FOR 1 & 2,HEX BOLT M10x30L - C.S. Gr. 4.0
,3,FOR 1 & 2,HEX BOLT M10x55L - C.S. Gr. 4.0
,1,FOR 4 & 6,HEX BOLT M8x15L - C.S. Gr. 4.0
,1,FOR 4 & 6,PARALLEL KEY 8x7x40
,1,HANDWHEEL,INDICATOR PLATE ø 50mm
,1,FOR 6 & 15,WASHER ID 9 x OD 35 x 1 THK
MLS-05/F30 (EO),1,,SGB HOUSING MLS-05/F30
,1,,SGB COVER MLS-05/F30
,1,,SPUR GEAR MLS-05/F30
,1,,PINION SHAFT ø 50x248L - EN19
,2,(TOP/BOTTOM),HARD WASHER OD 140 x ID 120 x 7 THK
,1,FOR 1 & 4,BUSH ø 40x19L
,1,FOR 2 & 4,BUSH ø 40x43L
,2,,THRUST RACES AS 3047
,130,,STEEL BALL ø 6mm
,2,,O RING ID 119mm x 4mm
,5,FOR 1 & 2,HEX BOLT M10x30L - C.S. Gr. 4.0
,3,FOR 1 & 2,ALLEN BOLT M10x40L - C.S. Gr. 4.0
,1,FOR 4,PARALLEL KEY 8x7x40
MLS-05/F30 (INDICATOR),1,,SGB HOUSING MLS-05/F30
,1,,SGB COVER MLS-05/F30
,1,(INDICATOR),SPUR GEAR MLS-05/F30
,1,,PINION SHAFT ø 50x390L - EN19
,2,(TOP/BOTTOM),HARD WASHER OD 140 x ID 120 x 7 THK
,1,,HANDWHEEL ø 700mm
,1,FOR 1 & 4,BUSH ø 40x19L
,1,FOR 2 & 4,BUSH ø 40x43L
,2,,THRUST RACES AS 3047
,130,,STEEL BALL ø 6mm
,2,,O RING ID 119mm x 4mm
,1,,CIRCLIP ø 30mm
,5,FOR 1 & 2,HEX BOLT M10x30L - C.S. Gr. 4.0
,3,FOR 1 & 2,HEX BOLT M10x55L - C.S. Gr. 4.0
,1,FOR 4 & 6,HEX BOLT M8x15L - C.S. Gr. 4.0
,4,FOR 3 & 21,HEX BOLT M6x30L - C.S. Gr. 4.0
,4,FOR 2 & 22,HEX BOLT M8x25L - C.S. Gr. 4.0
,3,FOR 2 & 23,HEX BOLT M8x25L - C.S. Gr. 4.0
,1,FOR 4,PARALLEL KEY 8x7x40
,1,HANDWHEEL,INDICATOR PLATE ø 50mm
,1,,INDICATOR ROD
,1,,PIPE HOOD FOR INDICATOR
,1,,PIPE HOOD FOR PINION SHAFT
,1,FOR 6 & 15,WASHER ID 9 x OD 35 x 1 THK
MLS-05/F16,1,,SGB HOUSING MLS-05/F16
,1,,SGB COVER MLS-05/F16
,1,,SPUR GEAR MLS-05/F16
,1,,PINION SHAFT ø 36x151L - EN19
,2,(TOP/BOTTOM),HARD WASHER OD 73 x ID 57 x 6 THK
,1,,HANDWHEEL ø 500mm
,1,FOR 1 & 3,BUSH ø 35x21L
,1,FOR 2 & 3,BUSH ø 35x38L
,2,,THRUST RACES AS 2542
,96,,STEEL BALL ø 4mm
,2,,O RING ID 60mm x 3mm
,1,,CIRCLIP ø 25mm
,6,FOR 1 & 2,HEX BOLT M8x30L - C.S. Gr. 4.0
