Name,Product Type,Internal Category, Machine Drawing No,Casting Drawing No,Size,Material,OD (mm) , L (mm) ,ID (mm) 
MLS-04/F25,Stockable Product,All,,,,,,,
MLS-04/F25 (EO),Stockable Product,All,,,,,,,
MLS-04/F25 (INDICATOR),Stockable Product,All,,,,,,,
MLS-05/F30,Stockable Product,All,,,,,,,
MLS-05/F30 (EO),Stockable Product,All,,,,,,,
MLS-05/F30 (INDICATOR),Stockable Product,All,,,,,,,
MLS-05/F16,Stockable Product,All,,,,,,,
MLS-05/F16 (EO),Stockable Product,All,,,,,,,
MLS-05/F16 (INDICATOR),Stockable Product,All,,,,,,,
MLS-04/F16,Stockable Product,All,,,,,,,
MLS-04/F16 (EO),Stockable Product,All,,,,,,,
MLS-04/F16 (INDICATOR),Stockable Product,All,,,,,,,
MLS-02/F14,Stockable Product,All,,,,,,,
MLS-02/F14 (EO),Stockable Product,All,,,,,,,
MLS-02/F16,Stockable Product,All,,,,,,,
MLS-02/F16 (EO),Stockable Product,All,,,,,,,
MLS-02/F16 (INDICATOR),Stockable Product,All,,,,,,,
MLS-05/F25,Stockable Product,All,,,,,,,
MLS-05/F25 (EO),Stockable Product,All,,,,,,,
MLS-06/F30,Stockable Product,All,,,,,,,
MLS-06/F30 (EO),Stockable Product,All,,,,,,,
ORS-05/F25,Stockable Product,All,,,,,,,
ORS-05/F30,Stockable Product,All,,,,,,,
ORS-06/F30,Stockable Product,All,,,,,,,
MLW-13/F16,Stockable Product,All,,,,,,,
MLW-13/F25,Stockable Product,All,,,,,,,
MLW-60/F35,Stockable Product,All,,,,,,,
MLW-30/F30,Stockable Product,All,,,,,,,
MLW-15/F30,Stockable Product,All,,,,,,,
SLM-09/F12,Stockable Product,All,,,,,,,
SLM-12/F10 EO,Stockable Product,All,,,,,,,
SLM-14/F12,Stockable Product,All,,,,,,,
SLM-14/F12 EO,Stockable Product,All,,,,,,,
SLM-27/F14,Stockable Product,All,,,,,,,
SLM-27/F14 EO,Stockable Product,All,,,,,,,
SLM-27/F12,Stockable Product,All,,,,,,,
SLM-27/F12 EO,Stockable Product,All,,,,,,,
SLM-37/F14,Stockable Product,All,,,,,,,
SLM-37/F14 EO,Stockable Product,All,,,,,,,
SLM-37A/F14,Stockable Product,All,,,,,,,
SLM-37A/F14 EO,Stockable Product,All,,,,,,,
SLM-37/F16,Stockable Product,All,,,,,,,
SLM-37/F16 EO,Stockable Product,All,,,,,,,
SLM-37A/F16,Stockable Product,All,,,,,,,
SLM-37A/F16 EO,Stockable Product,All,,,,,,,
SLM-53/F16,Stockable Product,All,,,,,,,
SLM-53/F16 EO,Stockable Product,All,,,,,,,
SLM-66/F16,Stockable Product,All,,,,,,,
SLM-66/F16 EO,Stockable Product,All,,,,,,,
SLM-66/F25,Stockable Product,All,,,,,,,
SLM-66/F25 EO,Stockable Product,All,,,,,,,
SLT-115/F25,Stockable Product,All,,,,,,,
SLT-115/F25 EO,Stockable Product,All,,,,,,,
SLT-125/F25,Stockable Product,All,,,,,,,
SLT-125/F25 EO,Stockable Product,All,,,,,,,
SLT-165/F30,Stockable Product,All,,,,,,,
SLT-165/F30 EO,Stockable Product,All,,,,,,,
SLT-200/F30,Stockable Product,All,,,,,,,
SLT-200/F30 EO,Stockable Product,All,,,,,,,
SLT-250/F35,Stockable Product,All,,,,,,,
SLT-250/F35 EO,Stockable Product,All,,,,,,,
SLT-350/F35,Stockable Product,All,,,,,,,
SLT-350/F35 EO,Stockable Product,All,,,,,,,
SLT-460/F35,Stockable Product,All,,,,,,,
SLT-460/F35 EO,Stockable Product,All,,,,,,,
SLS-06/F40,Stockable Product,All,,,,,,,
SLS-06/F40 EO,Stockable Product,All,,,,,,,
SGB HOUSING MLS-04/F25,Stockable Product,SGB HOUSING,014-1-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SGB COVER MLS-04/F25,Stockable Product,SGB COVER,015-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SPUR GEAR MLS-04/F25,Stockable Product,SPUR GEAR,022-04-M/R0,,,EN8,,,
PINION SHAFT ø 45x150L - EN19,Stockable Product,PINION SHAFT,016-03-M/R0,,,EN19,,,
HARD WASHER OD 115 x ID 97 x 7 THK,Stockable Product,HARD WASHER,009-10-M/R0,,OD 115 x ID 97 x 7 THK,ST.STEEL,115,7,97
HANDWHEEL ø 500mm,Stockable Product,HANDWHEEL,011-09-F/R0,,ø 500mm,M.S. FABRICATED,,,
BUSH ø 35x19L,Stockable Product,BUSH,039-07-M/R0,,ø 35x19L,BRASS,35,19,
BUSH ø 35x30L,Stockable Product,BUSH,040-07-M/R0,,ø 35x30L,BRASS,35,30,
THRUST RACES AS 2542,Stockable Product,THRUST RACES,,,AS 2542,STANDARD,,,
STEEL BALL ø 6mm,Stockable Product,STEEL BALL,,,ø 6mm,ST.STEEL,,,
O RING ID 100mm x 3mm,Stockable Product,O RING,,,ID 100mm x 3mm C/S,NITRILE RUBBER,,,
