PRODUCT,Bom Lines / Product,Bom Lines / Used For,Bom Lines / Quantity
ML-S(4)/F25,SGB HOUSING,,1
,SGB COVER,,1
,SPUR GEAR,,1
,SPUR GEAR $(INDICATOR),,1
,PINION SHAFT,,1
,PINION SHAFT$(BEVEL),,1
,HARD WASHER$(TOP/BOTTOM),,2
,HANDWHEEL,,1
,BUSH,FOR 1 & 5,1
,BUSH,FOR 2 & 5,1
,THRUST RACES,,2
,STEEL BALL,,102
,CIRCLIP,,2
,CIRCLIP,,1
,CIRCLIP $(BEVEL),,1
,HARD WASHER,FOR 1 & 2,5
,HARD WASHER,FOR 1 & 2,3
,HARD WASHER,FOR 5 & 8,1
,WASHER,FOR 18,1
,PARALLEL KEY,FOR 5,1
,PARALLEL KEY,FOR 6,1
,INDICATOR PLATE,FOR 8,1
ML-S(5)/F30,SGB HOUSING,,1
,SGB COVER,,1
,SPUR GEAR (STD/IND),,1
,SPUR GEAR (O/R),,1
,PINION SHAFT,,1
,PINION SHAFT$(BEVEL),,1
,PINION SHAFT (MT-2),,1
,HARD WASHER$(TOP/BOTTOM),,2
,HANDWHEEL,,1
,BUSH,FOR 1 & 5,1
,BUSH,FOR 2 & 5,1
,THRUST RACES,,2
,STEEL BALL,,130
,CIRCLIP,,2
,CIRCLIP,FOR 5,1
,CIRCLIP,FOR 7,2
,HARD WASHER,FOR 1 & 2,5
,HARD WASHER,FOR 1 & 2,3
,HARD WASHER,FOR 5 & 9,1
,WASHER,FOR 19,1
,PARALLEL KEY,FOR 5,1
,PARALLEL KEY,FOR 6,1
,PARALLEL KEY,FOR 7,1
,INDICATOR PLATE,FOR 9,1
ML-S(9)/F30,SGB HOUSING,,1
,SGB COVER,,1
,SPUR GEAR -I,,1
,SPUR GEAR -II,,1
,PINION SHAFT-I,,1
,PINION SHAFT-I (MSB-2),,1
,PINION SHAFT -II,,1
,HARD WASHER$(TOP),,1
,HARD WASHER$(BOTTOM),,1
,HANDWHEEL,,1
,BUSH,FOR 1 & 5,1
,BUSH,FOR 1 & 6,1
,BUSH,FOR 2 & 5,1
,BEARING,,1
,THRUST RACES,,2
,NEEDLE ROLLER CAGE,,1
,STEEL BALL,,135
,CIRCLIP,,1
,CIRCLIP,,1
,CIRCLIP,,1
,HARD WASHER,FOR 1 & 2,10
,ALLEN BOLT,FOR 1 & 2,2
,EYE BOLT,FOR 2,2
,HARD WASHER,FOR 5 & 10,1
,WASHER,FOR 24,1
,PARALLEL KEY,FOR 5,1
,PARALLEL KEY,FOR 6,1
,PARALLEL KEY,FOR 7,1
ML-S(5)/F16,SGB HOUSING,,1
,SGB COVER,,1
,SPUR GEAR,,1
,SPUR GEAR $(INDICATOR),,1
,PINION SHAFT,,1
,HARD WASHER$(TOP/BOTTOM),,2
,HANDWHEEL,,1
,BUSH,FOR 1 & 4,1
,BUSH,FOR 2 & 4,1
,THRUST RACES,,2
,STEEL BALL,,96
